ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Surface,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,Parking box count,Municipality,Province
11149965,Waremme,4300,1974.0,3.0,115.0,,APARTMENT,APARTMENT,220000,NORMAL_SALE,3.0,1.0,2.0,6.0,False,10.0,,False,False,,True,,,False,,,False,GOOD,34.0,C,187.0,1194,False,BUY_REGULAR,FUELOIL,,,,,1.0,1.0,,WAREMME,LUIK
11149932,Wetteren,9230,2015.0,3.0,134.0,,APARTMENT,DUPLEX,339000,NORMAL_SALE,3.0,1.0,2.0,6.0,True,,INSTALLED,False,False,,True,,,True,180.0,,False,GOOD,30.0,B,113.0,0,False,BUY_REGULAR,GAS,,,,,,1.0,,WETTEREN,OOST-VLAANDEREN
11150061,Ixelles,1050,1958.0,2.0,134.0,,APARTMENT,APARTMENT,495000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,8.0,INSTALLED,False,False,,True,12.0,,False,,,False,GOOD,40.0,D,202.0,0,False,BUY_REGULAR,GAS,,,,,,,,ELSENE,BRUSSEL
11153822,BERCHEM,2600,1968.0,2.0,90.0,,APARTMENT,APARTMENT,175000,NORMAL_SALE,2.0,1.0,1.0,4.0,True,9.0,INSTALLED,False,False,,True,7.0,,False,,,,GOOD,37.0,B,124.0,986,,BUY_REGULAR,,,,,,,1.0,,ANTWERPEN,ANTWERPEN
11153121,Jette,1090,1965.0,2.0,80.0,,APARTMENT,APARTMENT,289000,NORMAL_SALE,3.0,1.0,1.0,5.0,True,9.0,INSTALLED,False,False,,True,2.0,,False,,,False,GOOD,30.0,G,383.0,1051,False,BUY_REGULAR,,,,,,,,,JETTE,BRUSSEL
11156330,Brasschaat,2930,1996.0,2.0,315.0,,APARTMENT,PENTHOUSE,995000,NORMAL_SALE,2.0,1.0,2.0,5.0,True,,HYPER_EQUIPPED,True,True,-1.0,True,40.0,,False,,,,AS_NEW,,B,192.0,2946,False,BUY_REGULAR,,,,,,2.0,,,BRASSCHAAT,ANTWERPEN
11139208,Anderlecht,1070,1966.0,2.0,76.0,,APARTMENT,APARTMENT,171717,NORMAL_SALE,2.0,1.0,1.0,4.0,True,,SEMI_EQUIPPED,False,False,,True,6.0,,False,,,False,TO_RENOVATE,36.0,F,326.0,1021,False,BUY_REGULAR,GAS,,,,,,,,ANDERLECHT,BRUSSEL
9887762,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,195500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
9887763,Brussels City,1000,,,25.0,,APARTMENT,APARTMENT,195500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
9887764,Brussels City,1000,,,24.0,,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,True,,INSTALLED,False,False,,False,,,False,,,,,,,,0,False,BUY_REGULAR,GAS,,,,,,,,BRUSSEL,BRUSSEL
