ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Surface,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Garden Exists,Garden Surface,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Cadastral Income,Heating Type,Municipality,Province,Region,Price per sqm
11149965,Waremme,4300,1974.0,3.0,115.0,APARTMENT,APARTMENT,220000,NORMAL_SALE,3.0,1.0,2.0,6.0,0,10.0,,0,0,0.0,1,,0,0.0,0,3.0,34.0,4.0,187.0,1194,FUELOIL,WAREMME,LUIK,Wallonia,
11149932,Wetteren,9230,2015.0,3.0,134.0,APARTMENT,DUPLEX,339000,NORMAL_SALE,3.0,1.0,2.0,6.0,1,,2.0,0,0,0.0,1,,1,180.0,0,3.0,30.0,3.0,113.0,0,GAS,WETTEREN,OOST-VLAANDEREN,Flanders,
11150061,Ixelles,1050,1958.0,2.0,134.0,APARTMENT,APARTMENT,495000,NORMAL_SALE,2.0,1.0,2.0,5.0,1,8.0,2.0,0,0,0.0,1,12.0,0,0.0,0,3.0,40.0,5.0,202.0,0,GAS,ELSENE,BRUSSEL,Brussels,3390.4109589041095
11153822,BERCHEM,2600,1968.0,2.0,90.0,APARTMENT,APARTMENT,175000,NORMAL_SALE,2.0,1.0,1.0,4.0,1,9.0,2.0,0,0,0.0,1,7.0,0,0.0,0,3.0,37.0,3.0,124.0,986,,ANTWERPEN,ANTWERPEN,Flanders,1804.1237113402062
11153121,Jette,1090,1965.0,2.0,80.0,APARTMENT,APARTMENT,289000,NORMAL_SALE,3.0,1.0,1.0,5.0,1,9.0,2.0,0,0,0.0,1,2.0,0,0.0,0,3.0,30.0,8.0,383.0,1051,,JETTE,BRUSSEL,Brussels,3524.390243902439
11156330,Brasschaat,2930,1996.0,2.0,315.0,APARTMENT,PENTHOUSE,995000,NORMAL_SALE,2.0,1.0,2.0,5.0,1,,3.0,1,1,1.0,1,40.0,0,0.0,0,5.0,,3.0,192.0,2946,,BRASSCHAAT,ANTWERPEN,Flanders,2802.8169014084506
11139208,Anderlecht,1070,1966.0,2.0,76.0,APARTMENT,APARTMENT,171717,NORMAL_SALE,2.0,1.0,1.0,4.0,1,,1.0,0,0,0.0,1,6.0,0,0.0,0,1.0,36.0,7.0,326.0,1021,GAS,ANDERLECHT,BRUSSEL,Brussels,2094.109756097561
9887762,Brussels City,1000,,,25.0,APARTMENT,APARTMENT,195500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,7820.0
9887763,Brussels City,1000,,,25.0,APARTMENT,APARTMENT,195500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,7820.0
9887764,Brussels City,1000,,,24.0,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,9020.833333333334
9887767,Brussels City,1000,,,24.0,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,9020.833333333334
9887769,Brussels City,1000,,,24.0,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,9020.833333333334
9887765,Brussels City,1000,,,24.0,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,9020.833333333334
9887768,Brussels City,1000,,,24.0,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,9020.833333333334
9887766,Brussels City,1000,,,24.0,APARTMENT,APARTMENT,216500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,9020.833333333334
9887771,Brussels City,1000,,,25.0,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,8940.0
9887772,Brussels City,1000,,,25.0,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,8940.0
9887775,Brussels City,1000,,,25.0,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,8940.0
9887770,Brussels City,1000,,,25.0,APARTMENT,APARTMENT,223500,NORMAL_SALE,1.0,1.0,1.0,3.0,1,,2.0,0,0,0.0,0,0.0,0,0.0,0,,,,,0,GAS,BRUSSEL,BRUSSEL,Brussels,8940.0
