Price,Facades,Habitable Surface,Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,State of Building,Living Surface,EPC,Consumption Per m2,Municipality,Province,APARTMENT,HOUSE
404900,2.0,121.0,APARTMENT,3.0,1.0,1.0,5.0,1.0,0,1,46.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
407900,2.0,114.0,APARTMENT,3.0,1.0,1.0,5.0,1.0,0,1,61.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
408900,2.0,121.0,APARTMENT,3.0,1.0,1.0,5.0,1.0,0,1,46.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
325000,3.0,76.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,17.79706877113867,3.0,35.20338983050848,6.0,53.0,BONHEIDEN,ANTWERPEN,1,0
179000,2.0,103.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,17.79706877113867,3.0,35.20338983050848,4.0,240.0,TURNHOUT,ANTWERPEN,1,0
450000,3.0,158.0,APARTMENT,3.0,2.0,1.0,5.0,1.0,0,0,17.79706877113867,3.0,35.20338983050848,5.0,183.0,ANTWERPEN,ANTWERPEN,1,0
245000,2.0,110.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,5.0,5.0,35.20338983050848,5.0,114.0,ANTWERPEN,ANTWERPEN,1,0
559000,4.0,101.0,APARTMENT,2.0,1.0,1.0,4.0,3.0,0,1,38.0,3.0,35.20338983050848,6.0,59.0,ANTWERPEN,ANTWERPEN,1,0
422613,2.0,91.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
484833,2.0,105.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
471723,2.0,104.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,14.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
422143,2.0,105.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
461524,2.0,103.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
416999,2.0,105.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
366701,2.0,91.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
465603,2.0,104.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,41.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
360387,2.0,91.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
410206,2.0,105.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
523729,2.0,135.0,APARTMENT,3.0,1.0,1.0,4.0,1.0,0,1,11.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
321412,2.0,86.0,APARTMENT,1.0,1.0,1.0,2.0,1.0,0,1,6.0,3.0,35.20338983050848,5.0,196.69760259179267,MECHELEN,ANTWERPEN,1,0
210000,2.0,93.0,APARTMENT,3.0,1.0,1.0,5.0,1.0,0,1,7.0,4.0,34.0,4.0,252.0,ANTWERPEN,ANTWERPEN,1,0
349500,2.0,106.0,APARTMENT,2.0,1.0,2.0,5.0,3.0,0,1,17.79706877113867,3.0,54.0,5.0,191.0,SCHILDE,ANTWERPEN,1,0
187000,2.0,42.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,7.0,5.0,26.0,5.0,117.0,ANTWERPEN,ANTWERPEN,1,0
230000,2.0,105.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,6.0,5.0,30.0,4.0,228.0,ANTWERPEN,ANTWERPEN,1,0
249000,2.0,88.0,APARTMENT,2.0,1.0,1.0,4.0,3.0,0,1,12.0,4.0,35.20338983050848,5.0,148.0,STABROEK,ANTWERPEN,1,0
219000,2.0,80.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,17.79706877113867,3.0,35.20338983050848,5.0,162.0,KAPELLEN,ANTWERPEN,1,0
245000,2.0,90.0,APARTMENT,2.0,1.0,1.0,3.0,1.0,0,1,17.79706877113867,3.0,37.0,5.0,116.0,KAPELLEN,ANTWERPEN,1,0
177900,2.0,50.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,0,17.79706877113867,3.0,25.0,5.0,200.0,ANTWERPEN,ANTWERPEN,1,0
297164,4.0,7819.0,APARTMENT,1.0,1.0,1.0,3.0,3.0,0,1,20.0,3.0,35.20338983050848,5.0,196.69760259179267,WILLEBROEK,ANTWERPEN,1,0
368841,4.0,104.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,20.0,3.0,35.20338983050848,5.0,196.69760259179267,WILLEBROEK,ANTWERPEN,1,0
