Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
1367,Ramillies,Neen,RAMILLIES,WAALS-BRABANT
1370,Dongelberg,Ja,JODOIGNE,WAALS-BRABANT
1370,Jauchelette,Ja,JODOIGNE,WAALS-BRABANT
1370,Jodoigne,Neen,JODOIGNE,WAALS-BRABANT
1370,Jodoigne-Souveraine,Ja,JODOIGNE,WAALS-BRABANT
1370,Lathuy,Ja,JODOIGNE,WAALS-BRABANT
1370,Mélin,Ja,JODOIGNE,WAALS-BRABANT
1370,Piétrain,Ja,JODOIGNE,WAALS-BRABANT
1370,Saint-Jean-Geest,Ja,JODOIGNE,WAALS-BRABANT
1370,Saint-Remy-Geest,Ja,JODOIGNE,WAALS-BRABANT
1370,Zétrud-Lumay,Ja,JODOIGNE,WAALS-BRABANT
1380,Couture-Saint-Germain,Ja,LASNE,WAALS-BRABANT
1380,Lasne-Chapelle-Saint-Lambert,Ja,LASNE,WAALS-BRABANT
1380,Maransart,Ja,LASNE,WAALS-BRABANT
1380,Ohain,Ja,LASNE,WAALS-BRABANT
1380,Plancenoit,Ja,LASNE,WAALS-BRABANT
1390,Archennes,Ja,GREZ-DOICEAU,WAALS-BRABANT
1390,Biez,Ja,GREZ-DOICEAU,WAALS-BRABANT
1390,Bossut-Gottechain,Ja,GREZ-DOICEAU,WAALS-BRABANT
1390,Grez-Doiceau,Neen,GREZ-DOICEAU,WAALS-BRABANT
1390,Nethen,Ja,GREZ-DOICEAU,WAALS-BRABANT
1400,Monstreux,Ja,NIVELLES,WAALS-BRABANT
1400,Nivelles,Neen,NIVELLES,WAALS-BRABANT
1401,Baulers,Ja,NIVELLES,WAALS-BRABANT
1402,Thines,Ja,NIVELLES,WAALS-BRABANT
1404,Bornival,Ja,NIVELLES,WAALS-BRABANT
1410,Waterloo,Neen,WATERLOO,WAALS-BRABANT
1420,Braine-l'Alleud,Neen,BRAINE-L'ALLEUD,WAALS-BRABANT
1421,Ophain-Bois-Seigneur-Isaac,Ja,BRAINE-L'ALLEUD,WAALS-BRABANT
1428,Lillois-Witterzée,Ja,BRAINE-L'ALLEUD,WAALS-BRABANT
1430,Bierghes,Ja,REBECQ,WAALS-BRABANT
1430,Quenast,Ja,REBECQ,WAALS-BRABANT
1430,Rebecq-Rognon,Ja,REBECQ,WAALS-BRABANT
1435,Corbais,Ja,MONT-SAINT-GUIBERT,WAALS-BRABANT
1435,Hévillers,Ja,MONT-SAINT-GUIBERT,WAALS-BRABANT
1435,Mont-Saint-Guibert,Neen,MONT-SAINT-GUIBERT,WAALS-BRABANT
1440,Braine-le-Château,Neen,BRAINE-LE-CHÂTEAU,WAALS-BRABANT
1440,Wauthier-Braine,Ja,BRAINE-LE-CHÂTEAU,WAALS-BRABANT
1450,Chastre-Villeroux-Blanmont,Ja,CHASTRE,WAALS-BRABANT
1450,Cortil-Noirmont,Ja,CHASTRE,WAALS-BRABANT
1450,Gentinnes,Ja,CHASTRE,WAALS-BRABANT
